shelfmark_shea_style,file,px,MB,description,credit,license,commons_page
"Diez A fol. 70, S. 60",DiezAlbumsMountedArchers.jpg,1665x1088,0.5,"A confrontation between mounted archers. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 16.8 cm x 26.7 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 60.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 256",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsMountedArchers.jpg
"Diez A fol. 71, S. 50",DiezAlbumsTravelling.jpg,2518x2037,1.2,"Ruler on his way through the country. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 22 cm x 26.2 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 71, p. 50. The pedestrian in front seems to carry a paiza , a sign that identifies persons on official duty.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 269",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsTravelling.jpg
"Diez A fol. 71, S. 53",DiezAlbumsTravelling2.jpg,2537x1704,1.1,"A lord travelling. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 18.2 cm x 26 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 71, p. 53. The riders on the upper right carries a paiza , a sign that identifies his bearer as on official mission.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 272",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsTravelling2.jpg
"Diez A fol. 71, S. 53",DiezAlbumsTravelling2 cropped.jpg,1503x1181,1.3,"A lord travelling. Illustration of Rashid-ad-Din's Jami' at-tawarikh (fragment). Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 18.2 cm x 26 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 71, p. 53. The riders on the upper right carries a paiza , a sign that identifies his bearer as on official mission.",DiezAlbumsTravelling2.jpg,Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsTravelling2_cropped.jpg
"Diez A fol. 71, S. 54",DiezAlbumsNegotiation.jpg,2539x1889,1.3,"Negotiations. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours and gold on paper. Original size: 19 cm x 25 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 71, p. 54.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 274",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsNegotiation.jpg
"Diez A fol. 71, S. 55",DiezAlbumsMourning.jpg,2536x1893,1.3,"Mourning a ruler. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 19.6 cm x 26.5 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 71, p. 55.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 265",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsMourning.jpg
"Diez A fol. 71, S. 56",DiezAlbumsElephant.jpg,2531x2044,1.5,"Ruler on an elephant. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 21.3 cm x 27 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 71, p. 56.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 270",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsElephant.jpg
"Diez A fol. 72, S. 16, no. 1",DiezAlbumsAstronomers.jpg,2517x1314,0.9,"Astronomers or astrologists at work. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours and gold on paper. Original size: 12 cm x 24.3 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 72, p. 16 no.1. The person in the middle holds an astrolabium, the moon is visible on the upper right.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 268",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsAstronomers.jpg
,Fall Of Baghdad (Diez Albums).jpg,9472x5963,86.9,"Fall Of Baghdad (Diez Albums). Detail: a leading official's failed attempt to escape by boat from the city (center right): ""The davāt-dār (chief secretary) who commanded the Caliph’s army was encamped between Baʿqūbā and Bājisrā. Hearing that the Mongol army was approaching from the west, the davāt-dār crossed the Tigris and joined battle with the Mongols near Anbār. The Mongols retreated and, joi",This image has been extracted from another file,Public domain,https://commons.wikimedia.org/wiki/File:Fall_Of_Baghdad_(Diez_Albums).jpg
,Fall Of Baghdad (Diez Albums) (cropped).jpg,4482x5732,35.6,"Fall Of Baghdad (Diez Albums). Detail: a leading official's failed attempt to escape by boat from the city (center right): ""The davāt-dār (chief secretary) who commanded the Caliph’s army was encamped between Baʿqūbā and Bājisrā. Hearing that the Mongol army was approaching from the west, the davāt-dār crossed the Tigris and joined battle with the Mongols near Anbār. The Mongols retreated and, joi",This image has been extracted from another file,Public domain,https://commons.wikimedia.org/wiki/File:Fall_Of_Baghdad_(Diez_Albums)_(cropped).jpg
,Fall Of Baghdad (Diez Albums) (cropped) 2.jpg,4494x5695,36.6,"Fall Of Baghdad (Diez Albums). Detail: a leading official's failed attempt to escape by boat from the city (center right): ""The davāt-dār (chief secretary) who commanded the Caliph’s army was encamped between Baʿqūbā and Bājisrā. Hearing that the Mongol army was approaching from the west, the davāt-dār crossed the Tigris and joined battle with the Mongols near Anbār. The Mongols retreated and, joi",This image has been extracted from another file,Public domain,https://commons.wikimedia.org/wiki/File:Fall_Of_Baghdad_(Diez_Albums)_(cropped)_2.jpg
,Persian painting of Hülegü’s army attacking city with siege engine.jpg,1119x1600,0.7,Persian painting of Hülegü’s army besieging a city. Note use of the siege engine.,http://mongolianhistory.blogspot.in/2007/03/hleg-moves-west-high-living-and.html http://kjv1189.egloos.com/m/1896726,Public domain,https://commons.wikimedia.org/wiki/File:Persian_painting_of_H%C3%BCleg%C3%BC%E2%80%99s_army_attacking_city_with_siege_engine.jpg
,"Mongol siege techniques in 1221 were little different than those used for the siege of Baghdad in 1258. A 14th century Persian illustration from the Heinrich von Diez Albums, Staatsbibliothek zu Berlin..jpg",696x900,0.2,"Mongol siege techniques in 1221 were little different than those used for the siege of Baghdad in 1258. A 14th century Persian illustration from the Heinrich von Diez Albums, Staatsbibliothek zu Berlin.",Persian illustration from the Heinrich von Diez Albums http://kjv1189.egloos.com/m/1896726,Public domain,"https://commons.wikimedia.org/wiki/File:Mongol_siege_techniques_in_1221_were_little_different_than_those_used_for_the_siege_of_Baghdad_in_1258._A_14th_century_Persian_illustration_from_the_Heinrich_von_Diez_Albums,_Staatsbibliothek_zu_Berlin..jpg"
,MS. DIEZ A. Audience.jpg,1001x1219,1.3,MS. DIEZ A. Audience,[1],Public domain,https://commons.wikimedia.org/wiki/File:MS._DIEZ_A._Audience.jpg
,MS. DIEZ A. Folio 70 (horseman detail).jpg,1920x1616,2.4,MS. DIEZ A. Folio 70 (horseman detail),[1],Public domain,https://commons.wikimedia.org/wiki/File:MS._DIEZ_A._Folio_70_(horseman_detail).jpg
,MS. DIEZ A. Folio 70 (horseman).jpg,1832x2098,2.3,MS. DIEZ A. Folio 70 (horseman),[1],Public domain,https://commons.wikimedia.org/wiki/File:MS._DIEZ_A._Folio_70_(horseman).jpg
,MS. DIEZ A. Folio 70.jpg,1948x2564,4.3,MS. DIEZ A. Folio 70,[1],Public domain,https://commons.wikimedia.org/wiki/File:MS._DIEZ_A._Folio_70.jpg
,MS. DIEZ. A. Siege of Baghdad by the Mongols.jpg,1200x1600,0.3,MS. DIEZ. A. Siege of Baghdad by the Mongols,[1],Public domain,https://commons.wikimedia.org/wiki/File:MS._DIEZ._A._Siege_of_Baghdad_by_the_Mongols.jpg
,"Mongol military manoeuvers, Diez Album.jpg",5852x4615,43.9,"Mongol military manoeuvers, Diez Album. The Diez Albums p.227",Diez Album,Public domain,"https://commons.wikimedia.org/wiki/File:Mongol_military_manoeuvers,_Diez_Album.jpg"
